timestamp,x,y,z
1779769516378,-1.5626654229979962,-9.526230299597978,-1.1658237944133578
1779769516394,-0.818218636554107,-9.55660614863932,-1.561764601700753
1779769516410,-0.9696517454285174,-9.514408344379067,-1.6326931181438267
1779769516427,-0.8804678797181695,-9.603892215949296,-1.3250377664223312
1779769516444,-0.8737339683532714,-9.594614684516191,-1.3162092939309775
1779769516461,-0.8834604856628924,-9.56304173464477,-1.3958169375225902
1779769516477,-1.2000938013490288,-9.54299088026285,-1.4474419108197092
1779769516493,-1.304241646631062,-9.583393033277988,-1.4639016088418662
1779769516511,-1.2972083869934081,-9.57590998404622,-1.4751242829933762
1779769516527,-1.162833964947611,-9.545983047816156,-1.4844025450788438
1779769516544,-0.9894039091248065,-9.584739187189935,-1.4076378698281944
1779769516561,-0.954987479455769,-9.589379121950268,-1.4009044699199498
1779769516577,-0.9968857893127947,-9.59476432211995,-1.3952182409770786
1779769516594,-1.102679575170949,-9.626636547198892,-1.4423536477699874
1779769516611,-1.135749412536621,-9.626337856513262,-1.4528285722941159
1779769516627,-1.1438299162048846,-9.610626492640376,-1.4760222547464072
1779769516644,-1.1210852196291088,-9.604042438074945,-1.440558288785815
1779769516661,-1.1020811708863825,-9.61406815752685,-1.4226016302041709
1779769516677,-1.0565912662781773,-9.640703066474199,-1.432927063255012
1779769516694,-1.0444707665041089,-9.638758362147211,-1.4224524309918283
1779769516711,-1.0429741712708025,-9.648634443995356,-1.4495368372723458
1779769516727,-1.0266638185914605,-9.592819617792964,-1.4604599439553916
1779769516744,-1.0344449739869683,-9.589377952906489,-1.4604599439553916
1779769516761,-1.0319009885925798,-9.617359600287676,-1.4535767603129148
1779769516778,-1.0413283037599175,-9.63920727495849,-1.4603104524821042
1779769516794,-1.0170872311465442,-9.674672556093334,-1.4981690584942697
1779769516811,-1.0134957825258373,-9.661952190729975,-1.5011612260475753
1779769516827,-1.0069115818299352,-9.642349664637447,-1.4939792055889962
1779769516844,-0.9295490137513727,-9.660006901881099,-1.5604180093973874
1779769516861,-0.8696940453127026,-9.67167863497436,-1.6135390664711593
1779769516877,-0.7363667211670428,-9.647885671454668,-1.638528838559985
1779769516894,-0.7369653446473181,-9.72868997748494,-1.6050095769263804
1779769516911,-0.7627029394287616,-9.756372934180497,-1.6261086251869796
1779769516927,-0.6859388487000018,-9.764005036494135,-1.6997304723672568
1779769516944,-0.5780500633239746,-9.732280695453285,-1.7256176316872238
1779769516961,-0.5784989030700176,-9.616012861853838,-1.7004785142555832
1779769516977,-0.6307225729126483,-9.56319078772664,-1.7093074251383542
1779769516994,-0.6296750366210937,-9.531467031207681,-1.726964077860117
1779769517011,-0.6130654087342321,-9.528924360987544,-1.7390851621560752
