timestamp,x,y,z
1779769006519,-1.3718775512695311,-9.67182651901245,-1.0591351786073298
1779769006536,-1.395370508929342,-9.413851290130614,-1.111208991650492
1779769006553,-1.423801507513225,-9.54463397129476,-1.388040531367436
1779769006570,-1.4460976566039025,-9.706990771374105,-1.3536219828065483
1779769006586,-1.622370607702434,-9.754425307244063,-1.1478699123106897
1779769006603,-1.5198689952574669,-9.501239650726317,-1.2436375403255224
1779769006619,-1.5644611473083496,-9.522039862170814,-1.2506711652893572
1779769006636,-1.478868584088236,-9.552565933337807,-1.2346603070132434
1779769006652,-1.4390648353576658,-9.46772024296224,-1.1367969488281755
1779769006670,-1.4451999771118162,-9.503933127593994,-1.1599907774109393
1779769006686,-1.4990693683348595,-9.547327448162436,-1.1768998266357928
1779769006703,-1.5264531959533691,-9.580397943115234,-1.2150569772031157
1779769006719,-1.5023615417480467,-9.592518004497885,-1.2208932821411638
1779769006736,-1.4960766162596641,-9.565732873424887,-1.251119931970164
1779769006753,-1.5469535476684568,-9.542690436011553,-1.2315173328123985
1779769006769,-1.5729903445921838,-9.563788169097899,-1.2421418949402867
1779769006786,-1.6365863261900842,-9.531316224560141,-1.2412438501220195
1779769006802,-1.7359456950865686,-9.51889630344808,-1.1956044540405273
1779769006819,-1.779939296722412,-9.565433598217368,-1.1878230063840747
1779769006836,-1.8396448467530309,-9.625589083972573,-1.2173020527161658
1779769006852,-1.7977461715698242,-9.59566097869873,-1.2586021044190971
1779769006869,-1.8044797176085412,-9.573963526153564,-1.248575727380067
1779769006886,-1.7550993083678186,-9.540743978118895,-1.2683284025330095
1779769006902,-1.7257703380309044,-9.458741986736655,-1.2261302329465746
1779769006919,-1.706915999957174,-9.46816915577352,-1.213560966491699
1779769006936,-1.700332164587453,-9.456648229327797,-1.1996447424072771
1779769006952,-1.6909048494201153,-9.460537637981773,-1.2304700157165527
1779769006969,-1.6753425386290997,-9.48073871448934,-1.2235866859436035
1779769006986,-1.6790834056578576,-9.480289217156171,-1.19635256899409
1779769007002,-1.6941968767028301,-9.549422959136962,-1.1713629430357366
1779769007019,-1.7057188260618596,-9.558848959130048,-1.1685203400209545
1779769007036,-1.675641740771383,-9.623642626079917,-1.1638812089782207
1779769007052,-1.6358380651060491,-9.682599257439374,-1.159092732592672
1779769007069,-1.6121953967772422,-9.696516139110923,-1.1454754183895886
1779769007086,-1.562066872582957,-9.654916885265708,-1.0904090724669395
1779769007102,-1.4971240064207463,-9.60239350182414,-1.0235207713253796
1779769007119,-1.4486414958678184,-9.596707272881268,-1.0344447547912596
1779769007136,-1.286135058184713,-9.59640858219564,-0.9790784760739654
1779769007152,-1.235108635302633,-9.65985434166789,-0.9139861184384673
1779769007170,-1.2261304521422833,-9.68454571533203,-0.8891461300838738
1779769007186,-1.2192471954345703,-9.71656757801473,-0.8640078894350677
1779769007202,-1.156249764251709,-9.677811438640951,-0.7950242965146899
1779769007219,-1.161487153448537,-9.649082187762856,-0.6706758861817419
1779769007236,-1.1969511924743652,-9.599102059063314,-0.4560954893250018
1779769007252,-1.1034276901245117,-9.523535069164634,-0.32172077501825985
1779769007269,-0.9769838418822735,-9.530566867497562,-0.25034356495961546
1779769007286,-0.7869441947052255,-9.618854222759603,-0.18270766032114624
1779769007302,-0.6516716913085431,-9.903613998192547,-0.11566950238011776
1779769007319,-0.5641337661743163,-10.051156675499676,-0.09053075027465819
1779769007336,-0.4273649963378906,-10.229675505828856,-0.13557166900634765
1779769007352,-0.2715922508239746,-10.24059905090332,-0.13886340402811764
1779769007369,-0.21173720932006834,-10.212017684063316,-0.1958757694520056
